Date,Task,Weight
21/01/2016,gratc,8.41
22/01/2016,gratc,8.42
26/01/2016,gratc,8.56
27/01/2016,gratc,
28/01/2016,gratc,8.48
29/01/2016,gratc,8.49
03/02/2016,gratc,
04/02/2016,gratc,
05/02/2016,gratc,8.47
09/02/2016,gratc,8.6
10/02/2016,gratc,8.6
11/02/2016,gratc,8.59
12/02/2016,gratc,8.5
16/02/2016,gratc,8.86
17/02/2016,gratc,8.7
18/02/2016,gratc,8.73
19/02/2016,gratc,8.69
23/02/2016,gratc,8.7
24/02/2016,gratc,9.3
25/02/2016,gratc,8.67
26/02/2016,gratc,8.67
01/03/2016,gratc,8.85
02/03/2016,gratc,8.7
03/03/2016,gratc,8.66
04/03/2016,gratc,8.67
15/03/2016,gratc,8.5
16/03/2016,gratc,8.45
05/04/2016,gratc,
06/04/2016,gratc,8.04
07/04/2016,gratc,
08/04/2016,gratc,8
12/04/2016,gratc,8.15
13/04/2016,gratc,8
14/04/2016,gratc,8.17
15/04/2016,gratc,
